,mean,median,std,min_val,max_val,kurtosis,skewness,fft_vals,fft_magnitude,fft_mean,fft_std,label
1111,4.6975156379830325e-17,0.0016548716203132999,0.9998775635134683,-3.11599929293656,3.67928400799601,-0.34947788578595995,-0.020925643769980587,"[2.41584530e-13 -0.j         1.63528596e+02+27.39047929j
 3.06595425e+01+21.816185j   ... 9.36580342e+01+55.01593087j
 3.06595425e+01-21.816185j   1.63528596e+02-27.39047929j]","[2.41584530e-13 1.65806635e+02 3.76291572e+01 ... 1.08621269e+02
 3.76291572e+01 1.65806635e+02]",46.73697670900875,43.57355858891463,fast
1112,-3.479641213320765e-18,0.01032404369100985,0.9998775635134682,-3.88487770490305,3.63083204632022,-0.18023071688171788,-0.05654283659118174,"[-4.26325641e-14  -0.j         -4.94669641e+01 +43.2009023j
  1.20683227e+02 -17.0797289j  ...  1.25226199e+02+141.31921291j
  1.20683227e+02 +17.0797289j  -4.94669641e+01 -43.2009023j ]","[4.26325641e-14 6.56757071e+01 1.21885841e+02 ... 1.88819281e+02
 1.21885841e+02 6.56757071e+01]",42.42833172747469,47.77904003664542,fast
1113,-1.7398206066603826e-17,0.0412875256189876,0.9998775635134683,-2.93732212463741,3.05125763279551,-0.3499372822173883,-0.0850696538966731,"[-9.94759830e-14  -0.j          1.15330861e+01  -8.84923905j
  2.43068809e+01-139.0965189j  ...  2.49799150e+01 +73.19672714j
  2.43068809e+01+139.0965189j   1.15330861e+01  +8.84923905j]","[9.94759830e-14 1.45368878e+01 1.41204341e+02 ... 7.73418193e+01
 1.41204341e+02 1.45368878e+01]",46.48377996835356,43.84356509060017,fast
1114,-9.047067154633988e-17,0.028269953198714948,0.9998775635134683,-3.70866218249753,3.66356741383633,-0.018656904418138165,-0.1229504903712893,"[-3.62376795e-13  -0.j         -1.05336385e+02 +77.49538325j
  6.45834257e+01-132.14463067j ... -4.09794889e+01 +32.02689732j
  6.45834257e+01+132.14463067j -1.05336385e+02 -77.49538325j]","[3.62376795e-13 1.30771894e+02 1.47082366e+02 ... 5.20100054e+01
 1.47082366e+02 1.30771894e+02]",46.972033485744646,43.32006544563484,fast
1115,-2.261766788658497e-17,0.0021934619316369003,0.9998775635134683,-3.06704037501489,3.05332224297043,-0.26444528100600984,-0.015098217028506205,"[-9.94759830e-14  -0.j         -3.91541665e+01  +9.04260109j
 -4.68509676e+01-171.19346942j ...  1.05415655e+01-102.04681908j
 -4.68509676e+01+171.19346942j -3.91541665e+01  -9.04260109j]","[9.94759830e-14 4.01847905e+01 1.77488639e+02 ... 1.02589853e+02
 1.77488639e+02 4.01847905e+01]",45.58358128175934,44.77875743619113,fast
1116,-5.045479759315109e-17,0.0096896317508587,0.9998775635134682,-3.51401504701194,3.26599660040475,0.09940135355410318,0.008395980109934635,"[-2.27373675e-13 -0.j         -1.02875944e+02+15.24514352j
  1.49027478e+02-27.17163836j ... -1.07211378e+02+48.6870264j
  1.49027478e+02+27.17163836j -1.02875944e+02-15.24514352j]","[2.27373675e-13 1.03999395e+02 1.51484280e+02 ... 1.17748487e+02
 1.51484280e+02 1.03999395e+02]",44.58676834091341,45.77138941428065,fast
1117,-4.871497698649071e-17,0.0164345411313122,0.9998775635134685,-3.46906797260859,3.44166544485242,0.24812697112203486,-0.05993560369834416,"[-1.70530257e-13  -0.j         -1.25841114e+02+164.02117723j
  1.33867064e+01-206.59988081j ...  2.85474140e+02 +31.97623578j
  1.33867064e+01+206.59988081j -1.25841114e+02-164.02117723j]","[1.70530257e-13 2.06733966e+02 2.07033125e+02 ... 2.87259403e+02
 2.07033125e+02 2.06733966e+02]",46.21052629653594,44.13147696822715,fast
1118,-1.7398206066603826e-17,0.016036081191540652,0.9998775635134685,-3.40510768563863,3.08668261760298,-0.11068278106807883,-0.09677111209381403,"[-1.49213975e-13  -0.j          5.44840333e+01+113.74586437j
  2.99326601e+01 +91.56325152j ... -1.21036630e+02 +74.02514278j
  2.99326601e+01 -91.56325152j  5.44840333e+01-113.74586437j]","[1.49213975e-13 1.26121495e+02 9.63316831e+01 ... 1.41878778e+02
 9.63316831e+01 1.26121495e+02]",45.59899516506735,44.763061109984065,fast
1119,4.871497698649071e-17,-0.007677338417139549,0.9998775635134683,-4.03346673088089,4.45109348586674,0.6920123487599397,-0.005789764432894695,"[ 1.77635684e-13  -0.j         -9.15519702e+01+153.75933005j
  4.40549435e+01 -19.67300909j ... -6.48197180e+01 +83.79670015j
  4.40549435e+01 +19.67300909j -9.15519702e+01-153.75933005j]","[1.77635684e-13 1.78951655e+02 4.82479568e+01 ... 1.05940940e+02
 4.82479568e+01 1.78951655e+02]",47.52608399729302,42.711489553541085,fast
1120,-3.1316770919886884e-16,-0.0284640780183105,0.9998775635134685,-3.40741642621468,3.56178750277643,0.8700971519765579,0.00956414096813971,"[-1.26476607e-12  -0.j          3.14776213e+02 -95.7690191j
  1.19656812e+02+193.88216109j ... -2.80520414e+02+655.13475479j
  1.19656812e+02-193.88216109j  3.14776213e+02 +95.7690191j ]","[1.26476607e-12 3.29022445e+02 2.27833371e+02 ... 7.12666296e+02
 2.27833371e+02 3.29022445e+02]",23.61706259057405,59.37368402409362,fast
1121,1.0438923639962294e-17,0.0106098155655352,0.9998775635134686,-4.55743718553124,4.2014525433405,0.7049963284450236,0.003812955463125269,"[ 5.68434189e-14 -0.j         -1.25313934e+01-28.19298202j
 -1.30249517e+02-46.38293927j ... -1.19020098e+02+50.52161852j
 -1.30249517e+02+46.38293927j -1.25313934e+01+28.19298202j]","[5.68434189e-14 3.08525535e+01 1.38261758e+02 ... 1.29298947e+02
 1.38261758e+02 3.08525535e+01]",51.5430838392182,37.76652629436982,fast
1122,4.523533577316994e-17,-0.04729236101390265,0.9998775635134679,-3.81992696254396,3.7452263870221,0.9896601099325686,0.21844439358463746,"[ 1.98951966e-13  -0.j         -1.95431067e+02 -54.20717607j
  2.08572781e+02+274.05271092j ... -1.30630810e+02+216.01593315j
  2.08572781e+02-274.05271092j -1.95431067e+02 +54.20717607j]","[1.98951966e-13 2.02809565e+02 3.44394386e+02 ... 2.52442651e+02
 3.44394386e+02 2.02809565e+02]",28.382828417068758,57.24871222173677,fast
